age	gender	education	studyabroad	problem	contribution	contribution	optimistic	fear	eastdev	origin	background	ruraldevplus	duration
17-25	Female	S1	No	Limited job,Bureaucracy,Education,Technology,Youth	Entrepreneur	Entrepreneur	Yes	Politics,Alone	Yes	Jawa Barat	Sistem Informasi/ Komputer	Yes	2-5
26-30	Female	S1	No	Energy,Natural resources	Professional	Professional	Yes	Realistic,Paper,Politics,Alone,Capital,	Yes	Jawa Tengah	Sistem Informasi/ Komputer	Yes	2-5
26-30	Female	S1	Yes	Bureaucracy,Agriculture,Energy,Macroeconomics,Microeconomics	Professional	Professional	Yes	Paper	Yes	DKI Jakarta	Hubungan Internasional	Yes	2-5
17-25	Female	S1	No	Energy,Defense	Professor	Professor	Yes	Bureaucracy	Yes	Jawa Tengah	Sistem Informasi/ Komputer	Yes	2-5
17-25	Male	S1	No	Education,Health	Entrepreneur	Entrepreneur	Yes	Realistic	Yes	Jawa Barat	Hukum	Yes	5-7
35+	Male	S2	Yes	Education,Agriculture	Professor	Professor	Yes	Alone,Communication	Yes	DKI Jakarta	Ekonomi	Yes	2-5
17-25	Male	S1	No	Limited job,Education,Energy	Professor	Professor	Yes	Believe	No	Jawa Tengah	Ekonomi	No	
17-25	Female	S2	Yes	Education,Health,Agriculture	Birokrat	Birokrat	Yes	Family,Alone,Capital	No	Jawa Barat	Ekonomi	No	
17-25	Female	S1	No	Infrastructure	Professional	Professional	Maybe		No	Jawa Timur	Ekonomi	Yes	< 2
17-25	Female	S1	No	Macroeconomics,Microeconomics	Professor	Professor	Yes	Family,Communication,No idea,Timing,Inside,	Yes	Aceh	Pendidikan	Yes	< 2
26-30	Male	S1	No	Infrastructure	Professor	Professor	Yes	Realistic,Alone,Communication	Yes	Jawa Barat	Teknik	Yes	< 2
17-25	Female	S1	No	PoliticsLaw	Professor	Professor	Yes	Realistic,Alone,Timing	Yes	Aceh	Pendidikan	Yes	< 2
31-35	Female	S2	Yes	Bureaucracy,Education	Professor	Professor	Yes	Paper	Yes	Kalimantan Timur	Sains	Yes	2-5
17-25	Male	S1	Yes	Bureaucracy,PoliticsLaw	Entrepreneur	Entrepreneur	Maybe	Paper,Timing	Yes	DKI Jakarta	Hukum	Yes	< 2
26-30	Male	S1	No	Crime,Bureaucracy,Education,Technology,Youth	Professional	Professional	Yes	Believe,Politics,Bureaucracy	Yes	DKI Jakarta	Hukum	Yes	< 2
31-35	Female	S1	No	HumanSociety	Professional	Professional	Yes	Communication	Yes	DKI Jakarta	Hukum	Yes	< 2
17-25	Female	S1	No	Health	Entrepreneur	Entrepreneur	Maybe	Believe	No	Jawa Timur	Sistem Informasi/ Komputer	No	
26-30	Male	S1	No	Bureaucracy,Education,Health,Gender equality	Professional	Professional	Yes	Alone	Yes	Banten	Sains	Yes	< 2
17-25	Female	S1	No	HumanSociety,Culture	Professor	Professor	Yes	Bureaucracy	Yes	Jawa Timur	Sains	Yes	2-5
17-25	Male	S1	No	Health	Professor	Professor	Yes	Politics,Alone	Yes	Sulawesi Tenggara	perikanan	Yes	> 7
26-30	Male	S1	No	Crime,Education,PoliticsLaw,Energy,Natural resources,Macroeconomics,Youth	Entrepreneur	Entrepreneur	Yes	Realistic,Paper,Alone,Bureaucracy	Yes	DKI Jakarta	Sistem Informasi/ Komputer	Yes	2-5
26-30	Male	S2	No	Education	Entrepreneur	Entrepreneur	Yes	Believe	Yes	Sumatera Utara	Hukum	Yes	5-7
17-25	Female	S1	No	Health,Agriculture	Professor	Professor	Yes	Paper,Capital,Communication	Yes	Jawa Timur	Sains	Yes	< 2
26-30	Female	S2	Yes	Technology	Professional	Professional	Maybe	Alone	Yes	DKI Jakarta	Ekonomi	Yes	5-7
17-25	Female	S1	No	Gender equality,Infrastructure	Professor	Professor	Yes	Believe	Yes	Jawa Tengah	Pendidikan	No	
17-25	Female	S1	Yes	Energy,Technology	Entrepreneur	Entrepreneur	Yes	Paper	Yes	Sulawesi Selatan	Sastra	Yes	> 7
26-30	Female	S1	No	Limited job,Education,Health,PoliticsLaw,Energy,Media	Professional	Professional	Yes	Alone,Communication	Yes	Jawa Timur	Pendidikan	Yes	< 2
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Education	Professor	Professor	Maybe	Alone,Capital	Yes	Jawa Barat	Teknik	Yes	5-7
17-25	Male	S1	No	Limited job,Education,Technology	Professor	Professor	Yes	Believe	No	DI Yogyakarta	Sistem Informasi/ Komputer	No	
17-25	Male	S1	No	Education,Energy,Natural resources	Professor	Professor	Yes	Believe	Yes	DKI Jakarta	Teknik	Yes	< 2
26-30	Male	S1	No	Limited job,Education,PoliticsLaw	Entrepreneur	Entrepreneur	Maybe	Believe	Yes	Banten	Teknik	No	< 2
17-25	Male	S1	No	Education,HumanSociety	Professor	Professor	Yes	Bureaucracy	Yes	Jawa Timur	Teknik	Yes	2-5
17-25	Female	S1	Yes	Energy	Professor	Professor	Yes	Bureaucracy	Yes	Sumatera Selatan	HumanSocietyiora	Yes	> 7
17-25	Male	S1	Yes	Bureaucracy,Education,Health,Agriculture,Defense,Media,Technology,Youth	Professor	Professor	Yes	Bureaucracy	Yes	Aceh	Teknik	Yes	> 7
17-25	Male	S1	No	Crime,Limited job,Bureaucracy,Education,PoliticsLaw,Youth	Professional	Professional	Yes	Realistic,Paper,No idea,Bureaucracy,Timing,	Yes	Sumatera Utara	Teknik	Yes	2-5
17-25	Female	S1	No	Crime,Bureaucracy,Education,Energy,Natural resources,Media,Macroeconomics,Microeconomics,Youth	Professor	Professor	Yes	Realistic,Capital,Communication,No idea,Inside,	Yes	Jawa Timur	Pendidikan	Yes	< 2
26-30	Male	S1	No	Education,Health,PoliticsLaw,Agriculture,Energy,Media,Youth	Professor	Professor	Yes	Believe	Yes	Jawa Tengah	Teknik	Yes	2-5
31-35	Female	S2	Yes	Crime,Bureaucracy,PoliticsLaw,Youth	Professional	Professional	Yes	Paper,Family,Alone,Capital,Communication,	Yes	Jawa Barat	Teknik	Yes	< 2
17-25	Male	S1	Yes	Bureaucracy,Education,Youth	Professor	Professor	Maybe	Believe	Yes	Jawa Barat	Kesehatan	Yes	< 2
26-30	Male	S1	Yes	Limited job	Professional	Professional	Yes	Paper	Yes	DI Yogyakarta	Teknik	Yes	2-5
17-25	Female	S1	Yes	Education	Professor	Professor	Yes	Politics,Bureaucracy	Yes	Sumatera Selatan	Pendidikan	Yes	< 2
17-25	Male	S1	No	Energy	Professor	Professor	Yes	Believe	Yes	Jawa Timur	Teknik	Yes	5-7
26-30	Male	S1	No	Education,Health,Youth	Professional	Professional	Yes	Alone	Yes	Jambi	Teknik	Yes	< 2
17-25	Male	S1	No	Crime,Limited job,Agriculture,Energy,Defense	Professor	Professor	Yes	Realistic,Family	Yes	DKI Jakarta	Statistika	Yes	< 2
17-25	Female	S1	No	Education,Health,Youth	Professor	Professor	Yes	Communication,No idea	Yes	Jambi	HumanSocietyiora	Yes	2-5
17-25	Female	S1	No	Education,HumanSociety	Professor	Professor	Yes	Politics	Yes	Banten	Teknik	Yes	< 2
17-25	Female	S1	No	Education,Agriculture,HumanSociety,Media	Professor	Professor	Yes	Realistic	Yes	Jawa Timur	Ekonomi	Yes	< 2
17-25	Male	S1	No	Crime,Bureaucracy,Education,Technology,Youth	Professor	Professor	Maybe	Paper,Politics,Family,Alone,Capital,Bureaucracy	Yes	Riau	Teknik	Yes	> 7
17-25	Female	S1	Yes	Education,HumanSociety,Youth	Entrepreneur	Entrepreneur	Maybe	Communication	Yes	DKI Jakarta	Teknik	Yes	< 2
31-35	Male	S1	No	Limited job,Education,Health,Agriculture,Energy,Technology	Professor	Professor	Yes	Alone	Yes	DKI Jakarta	Seni/ Desain/ Media	Yes	2-5
17-25	Female	S1	No	Health,Youth	Professor	Professor	Yes	Paper,Capital	Yes	Bali	Sastra	Yes	2-5
26-30	Female	S1	No	Crime,Limited job,Education,Agriculture	Professor	Professor	Maybe	Politics	Yes	Papua	Ilmu Sosial dan Politik	Yes	2-5
26-30	Male	S1	No	Agriculture,Environmental	Entrepreneur	Entrepreneur	Yes	Believe	Yes	DKI Jakarta	Bisnis	Yes	< 2
26-30	Female	S1	No	Limited job,Bureaucracy,Education,HumanSociety,Youth	Professor	Professor	Maybe	Capital,Timing	Yes	Papua	Ilmu Sosial dan Politik	Yes	2-5
26-30	Female	S1	No	Crime,Education,Macroeconomics	Professor	Professor	Yes	Alone,Bureaucracy	Yes	DI Yogyakarta	Sains	Yes	2-5
26-30	Male	S1	Yes	Education,Health	Activist	Activist	Yes	Realistic	Yes	Jawa Tengah	HumanSocietyiora	Yes	< 2
35+	Male	S2	Yes	Bureaucracy,Health	Birokrat	Birokrat	Maybe	Capital	No	Jawa Tengah	Ekonomi	Yes	< 2
26-30	Female	S2	Yes	Education,Health,Agriculture,Defense,Defense,Macroeconomics,Microeconomics	PNS	PNS	Yes	Politics	Yes	Jawa Timur	Sistem Informasi/ Komputer	Yes	< 2
26-30	Female	S1	No	Bureaucracy,PoliticsLaw,Media	Birokrat	Birokrat	Yes	Alone	Yes	DKI Jakarta	Seni/ Desain/ Media	Yes	< 2
26-30	Female	S2	Yes	Limited job,Bureaucracy,Agriculture,Energy,Natural resources,Defense,Defense,HumanSociety,Media,Youth,	Professor	Professor	Yes	Paper	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Male	D3	No	Energy,Natural resources,Defense,Technology	Professional	Professional	Maybe	No idea	Yes	Jawa Timur	Teknik	Yes	< 2
17-25	Female	S1	Yes	Education,Media	Entrepreneur	Entrepreneur	Yes	Paper,Alone,Communication	Yes	DKI Jakarta	Seni/ Desain/ Media	Yes	< 2
17-25	Female	S1	Yes	Crime,Education,Agriculture,Energy,Natural resources,Technology	Professional	Professional	Maybe	Paper	Yes	Jawa Barat	Ekonomi	Yes	2-5
26-30	Male	S2	Yes	Energy	Professor	Professor	Yes	Politics,Bureaucracy,Timing	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Male	S1	No	PoliticsLaw,Energy,Natural resources,Defense,Defense,Media,Macroeconomics	Birokrat	Birokrat	Maybe	Believe	Yes	DKI Jakarta	Teknik	Yes	< 2
17-25	Female	S1	No	Education,Health	Professional	Professional	Yes	Politics,Bureaucracy	Yes	Sumatera Utara	Hukum	Yes	2-5
17-25	Male	S1	No	Crime,Education,Energy,Natural resources,Technology	Professor	Professor	Yes	Believe	Yes	DKI Jakarta	Teknik	Yes	5-7
17-25	Male	S1	No	Education,Natural resources,Technology	Professor	Professor	Yes	Believe	Yes	Jawa Timur	Sains	Yes	5-7
17-25	Female	SMA	No	Crime,Limited job,Education,Media,Microeconomics,Technology,Youth	Professor	Professor	Yes	Believe	Yes	Sumatera Selatan	Pendidikan	Yes	2-5
26-30	Male	S1	Yes	Agriculture,Natural resources,HumanSociety	Professional	Professional	Yes	Believe,Bureaucracy	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Female	S1	No	Technology	Professional	Professional	Yes	Communication	Yes	DKI Jakarta	Bisnis	Yes	< 2
26-30	Male	S2	Yes	Health	Professor	Professor	Yes	Realistic,Alone	Yes	Jawa Barat	Sains	Yes	5-7
31-35	Male	S1	Yes	Education,Energy	Entrepreneur	Entrepreneur	Yes	Believe	Yes	Gorontalo	Pendidikan	Yes	2-5
17-25	Male	S1	No	Education	Professor	Professor	Yes	Capital	Yes	Jawa Timur	Sains	Yes	2-5
26-30	Female	S1	No	Agriculture,Youth	Professor	Professor	Yes	Politics,Timing	Yes	Jawa Timur	Ekonomi	Yes	< 2
26-30	Female	S1	Yes	HumanSociety	Birokrat	Birokrat	Maybe	Paper	Yes	DKI Jakarta	Hukum	Yes	< 2
17-25	Female	S1	No	Crime,Limited job,Education	Professional	Professional	Yes	Paper,Alone,Capital	Yes	Jawa Tengah	Sains	Yes	2-5
17-25	Male	S1	Yes	Education,Health,Gender equality,Media	Professor	Professor	Maybe		Yes	Jawa Barat	Kesehatan	Yes	< 2
17-25	Female	S1	No	Youth	Professor	Professor	Yes	Family,Capital	Yes	Lampung	Perikanan	Yes	< 2
17-25	Male	S1	No	Education,Gender equality	Professional	Professional	Yes	Believe	Yes	Sulawesi Selatan	Teknik	Yes	> 7
26-30	Female	S1	No	Crime,Education,Health	Professor	Professor	Yes	Realistic,Communication,Inside	Yes	Bali	Kesehatan	Yes	< 2
26-30	Male	S1	Yes	Education,Youth,Culture	Birokrat	Birokrat	Yes		Yes	DKI Jakarta	Teknik	Yes	2-5
17-25	Male	S1	Yes	Crime	Entrepreneur	Entrepreneur	Yes	Capital	Yes	Jawa Barat	Bisnis	Yes	2-5
31-35	Female	S1	No	Education	Professional	Professional	Yes	Paper,Alone,Bureaucracy	Yes	Jawa Timur	Seni/ Desain/ Media	Yes	> 7
17-25	Female	S1	No	Crime,Bureaucracy,PoliticsLaw,HumanSociety,Macroeconomics,Microeconomics	Professional	Professional	Yes	Believe	Yes	Sulawesi Selatan	Hukum	Yes	< 2
17-25	Male	S1	No	Education,Agriculture	Professor	Professor	Yes	Paper,Politics,Bureaucracy	Yes	Jawa Tengah	Teknik	Yes	2-5
17-25	Female	S1	No	Natural resources,Environmental	Professional	Professional	Yes	Believe	Yes	Sulawesi Tenggara	Hukum	Yes	2-5
17-25	Male	S1	No	Education,Media	Professor	Professor	Yes	Believe	Yes	Jawa Timur	Teknik	Yes	2-5
17-25	Male	S1	No	Limited job,Bureaucracy,Education,Health,HumanSociety,Macroeconomics,Microeconomics	Professor	Professor	Yes	Capital	Yes	Jawa Tengah	Kesehatan	Yes	< 2
17-25	Female	S2	Yes	Education,Macroeconomics,Microeconomics	Professor	Professor	Yes	Realistic,Alone,Timing	Yes	Riau	Kedokteran	Yes	< 2
17-25	Female	S1	No	Limited job,Education	Professional	Professional	Yes	Inside	Yes	Jawa Barat	Ekonomi	Yes	< 2
35+	Female	S2	No	Health	Professor	Professor	Yes	Politics,Capital,Bureaucracy	Yes	DI Yogyakarta	Teknik	Yes	2-5
26-30	Female	S2	Yes	Crime,Bureaucracy	Professor	Professor	Maybe	Alone	Yes	DKI Jakarta	Kesehatan	Yes	< 2
26-30	Female	S1	No	Crime,Bureaucracy,PoliticsLaw,Defense,HumanSociety,Technology	Entrepreneur	Entrepreneur	Yes		Yes	Jawa Barat	Peternakan	Yes	< 2
26-30	Male	S1	No	Energy,Youth	Professor	Professor	Maybe		Yes	Papua	Ilmu Sosial dan Politik	Yes	< 2
17-25	Male	S1	No	Limited job,Agriculture	Professional	Professional	Yes	Alone,Capital	Yes	Banten	Teknik	Yes	2-5
31-35	Male	S2	Yes	Education,Technology	Professor	Professor	Yes		Yes	Jawa Barat	HumanSocietyiora	Yes	2-5
17-25	Female	S1	No	Limited job,Bureaucracy,Education,Health	Professor	Professor	Yes	Believe	Yes	Jawa Timur	Kedokteran	Yes	< 2
35+	Male	S2	Yes	Crime,Bureaucracy,Technology	Entrepreneur	Entrepreneur	Yes	Politics	No	Jawa Tengah	Teknik	No	
17-25	Male	S1	No	Crime,Bureaucracy,Education,Health,PoliticsLaw,Natural resources,Defense,Defense,Media,Macroeconomics,	Professional	Professional	Yes	Communication	Yes	Jawa Timur	Teknik	Yes	2-5
31-35	Male	S2	Yes	Crime,Limited job,Bureaucracy,Education,Gender equality,Energy,Media,Technology	Professor	Professor	Yes	Realistic,Paper,Family,Alone,Capital,Inside	Yes	Jawa Barat	Sistem Informasi/ Komputer	Yes	2-5
31-35	Female	S2	Yes	Bureaucracy,PoliticsLaw,Youth	Professor	Professor	Yes	Paper	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Male	S1	No	Limited job,Agriculture	Entrepreneur	Entrepreneur	Yes	Paper,Capital,Communication	No	DKI Jakarta	Teknik	No	
17-25	Female	S1	No	Crime,Bureaucracy,Technology	Entrepreneur	Entrepreneur	Yes	Paper,Politics,Alone,Communication,No idea,	Yes	Sumatera Barat	Sains	Yes	5-7
17-25	Female	S1	No	Education,Gender equality,Technology	Professor	Professor	Maybe	Timing	Yes	Banten	Sains	Yes	
17-25	Female	S1	Yes	Agriculture	Professor	Professor	Maybe	Alone	Yes	DKI Jakarta	Teknik	Yes	< 2
17-25	Female	S2	No	Crime,Bureaucracy,Education,PoliticsLaw	Professor	Professor	Yes	Believe,Politics	Yes	Riau	Teknik	Yes	> 7
17-25	Male	S1	No	Crime,Limited job,Bureaucracy,Education,Health,Gender equality,PoliticsLaw,Media,Macroeconomics,Microeconomics, Youth	Professor	Professor	Maybe	Realistic,Capital	No	Sumatera Selatan	Sains	No	
26-30	Male	S1	No	Education	Professional	Professional	Yes	Capital	Yes	Papua	Kedokteran	Yes	5-7
26-30	Female	S1	No	Limited job,Education,Natural resources,Media,Technology	Professional + Pekerja Sosial	Professional + Pekerja Sosial	Maybe	Bureaucracy	Yes	DKI Jakarta	Hukum	Yes	< 2
26-30	Male	S1	No	Education,Agriculture,Energy,Defense,Defense,Youth	Entrepreneur	Entrepreneur	Yes	Paper	Yes	Aceh	Ekonomi	Yes	> 7
17-25	Male	S1	No	Education	Professional	Professional	Yes		Yes	Jawa Timur	Ilmu Sosial dan Politik	Yes	5-7
17-25	Male	S2	Yes	Bureaucracy,Education,HumanSociety,Media,Youth	Professor	Professor	Yes	Capital	Yes	Jawa Timur	Teknik	Yes	> 7
26-30	Male	S1	No	Limited job,Bureaucracy,Education,Youth	Professor	Professor	Yes	Bureaucracy	Yes	Aceh	Kesehatan	Yes	> 7
17-25	Female	S1	Yes	Education	Professional	Professional	Maybe	Alone	Yes	Jawa Barat	Kesehatan	Yes	2-5
17-25	Female	S1	No	Crime,Limited job,PoliticsLaw,Macroeconomics,Microeconomics	Birokrat	Birokrat	Yes	Believe	Yes	DKI Jakarta	Hukum	Yes	< 2
17-25	Male	S1	No	Limited job,Bureaucracy,PoliticsLaw,Agriculture,Youth	Professor	Professor	Yes	Capital	Yes	Jawa Barat	Teknik	Yes	> 7
17-25	Male	S1	Yes	Media	Professor	Professor	Maybe		Yes	Jawa Barat	Teknik	No	
17-25	Male	S1	No	Infrastructure	Professor	Professor	Yes	Believe	Yes	Sulawesi Selatan	Hukum	Yes	< 2
31-35	Female	S2	No	Education	Birokrat	Birokrat	Yes	Politics	Yes	DI Yogyakarta	Sains	Yes	2-5
17-25	Female	S1	No	Technology	Professor	Professor	Yes	Politics	Yes	Kalimantan Tengah	Sains	Yes	> 7
26-30	Female	S1	No	Energy	Entrepreneur	Entrepreneur	Yes	Alone	Yes	Aceh	Sistem Informasi/ Komputer	Yes	> 7
17-25	Female	S1	No	Limited job,Education,HumanSociety,Media,Youth	Professor	Professor	Yes	Capital	Yes	Nusa Tenggara Barat	Sains	Yes	2-5
31-35	Male	S2	Yes	Crime,Education,Gender equality,Media	Professor	Professor	Yes	Believe	Yes	DI Yogyakarta	Kedokteran	Yes	2-5
26-30	Male	S1	Yes	Gender equality,PoliticsLaw	Entrepreneur	Entrepreneur	Yes	Bureaucracy	No	Sumatera Utara	Sains	No	
26-30	Female	S1	No	Crime,Bureaucracy,Youth	Professor	Professor	Yes	Believe	Yes	Jawa Timur	Teknik	Yes	< 2
31-35	Male	S2	Yes	Energy,Defense,Technology	Professor	Professor	Yes	Believe	Yes	Bali	Kesehatan	Yes	2-5
26-30	Male	S1	No	Education	Professor	Professor	Yes		Yes	Jawa Timur	Teknik	Yes	> 7
26-30	Male	S1	No	Education	Entrepreneur	Entrepreneur	Yes	Realistic	Yes	Sulawesi Selatan	Sains	Yes	2-5
17-25	Male	S1	No	Youth	Menjadi Lurah di kampungku suatu saat nanti	Menjadi Lurah di kampungku suatu saat nanti	Yes	Alone	Yes	Lampung	Pendidikan	Yes	2-5
26-30	Male	S1	No	Bureaucracy,Media	Entrepreneur - Akademisi	Entrepreneur - Akademisi	Yes	Believe	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Female	S1	No	Crime,Education,PoliticsLaw	Professor	Professor	Maybe	Capital	Yes	Jawa Barat	HumanSocietyiora	Yes	< 2
17-25	Female	S1	No	Education,Agriculture	Entrepreneur	Entrepreneur	Yes	Believe,Realistic,Capital,Communication,Bureaucracy,	Yes	Jawa Tengah	Teknik	Yes	> 7
17-25	Female	S1	No	Education,Agriculture,Energy,Defense	Professor	Professor	Yes	Paper,Politics,Alone	Yes	Sulawesi Selatan	Keperawatan	Yes	2-5
17-25	Male	S1	No	Energy,Natural resources	Professional	Professional	Yes	Politics,Bureaucracy	Yes	DI Yogyakarta	Teknik	Yes	2-5
17-25	Female	S1	No	Energy,Technology	Professional	Professional	Yes	Believe	Yes	Jawa Timur	Sains	Yes	5-7
17-25	Female	S1	No	Agriculture,Youth	Professor	Professor	Yes	Politics,Bureaucracy	Yes	DKI Jakarta	Ekonomi	Yes	< 2
26-30	Male	S1	No	Defense,Defense	Professor	Professor	Yes	Politics,Bureaucracy	Yes	Jawa Timur	Ekonomi	Yes	2-5
26-30	Female	S1	No	Energy	Professor	Professor	Yes	Politics,Bureaucracy	Yes	Sumatera Utara	Kedokteran	Yes	> 7
26-30	Female	S1	No	Health,Health	Professor	Professor	Yes	Politics,Bureaucracy	Yes	Jawa Barat	Kedokteran	Yes	2-5
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Education,Health,Gender equality,Agriculture,Natural resources,Youth	Professor	Professor	Yes	Believe	Yes	Aceh	Pendidikan	Yes	2-5
26-30	Female	S1	No	Education,Technology,Youth	Professional	Professional	Yes	Politics,Bureaucracy	Yes	Jawa Barat	Hukum	Yes	< 2
17-25	Male	S1	No	Crime,Bureaucracy	Entrepreneur	Entrepreneur	Yes		Yes	Jawa Barat	Seni/ Desain/ Media	Yes	2-5
26-30	Male	S1	Yes	Crime,Limited job,Education,PoliticsLaw,Macroeconomics,Microeconomics	Professional	Professional	Yes	No idea,Inside	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Female	S1	No	Crime,Energy,Natural resources,Technology	Professional	Professional	Maybe	Politics,Capital,Bureaucracy,Timing	Yes	Sumatera Utara	Teknik	Yes	< 2
17-25	Male	S1	No	Limited job	Professor	Professor	Maybe	Believe,Paper,Timing	Yes	Papua	Sains	Yes	> 7
35+	Female	S2	No	Technology	Birokrat	Birokrat	Yes	Believe	Yes	DKI Jakarta	Hukum	No	
31-35	Male	S1	No	Crime	Professional	Professional	Yes	Politics,Bureaucracy	Yes	DKI Jakarta	Teknik	Yes	2-5
26-30	Female	S1	Yes	Education,Health,Media	Professional	Professional	Yes	Alone,Communication	Yes	DKI Jakarta	Hukum	Yes	< 2
17-25	Female	S1	No	Crime,Bureaucracy,Gender equality,PoliticsLaw,Energy,Natural resources,Defense	Professional	Professional	Yes	Realistic	Yes	Bali	Kesehatan	No	
17-25	Male	S1	No	Crime,Education,Health,Gender equality,HumanSociety	Professor	Professor	Yes	Politics	Yes	Aceh	Teknik	Yes	2-5
17-25	Female	S1	No	Crime,Media	Professor	Professor	Yes	Alone,Capital	Yes	Riau	Sains	Yes	< 2
17-25	Male	S1	No	Education,Gender equality,Media,Youth	Entrepreneur	Entrepreneur	Maybe	Capital	Yes	DKI Jakarta	Ekonomi	Yes	< 2
31-35	Male	S2	Yes	Technology,Disaster	Professor	Professor	Yes	Capital	Yes	DKI Jakarta	Ekonomi	Yes	2-5
26-30	Male	S2	Yes	Crime,Bureaucracy,Education,Microeconomics	Entrepreneur	Entrepreneur	Yes	Politics	Yes	Jawa Barat	Sistem Informasi/ Komputer	Yes	5-7
17-25	Female	S1	No	Education	Professional	Professional	Yes	Politics	No	Jawa Timur	Kedokteran	Yes	< 2
17-25	Male	S1	No	Bureaucracy,Energy,Media,Technology	Professor	Professor	Yes		Yes	Aceh	Pendidikan	Yes	2-5
31-35	Female	S2	Yes	Microeconomics	Entrepreneur	Entrepreneur	Yes	Believe	Yes	Sumatera Barat	Pendidikan	Yes	< 2
17-25	Female	S1	No	Education	Entrepreneur	Entrepreneur	Maybe	Politics,Capital,Bureaucracy	Yes	Jawa Timur	Pendidikan	Yes	< 2
17-25	Female	S1	No	Education	Professor	Professor	Yes	Believe	Yes	DKI Jakarta	Hukum	Yes	2-5
26-30	Male	S1	Yes	Limited job,Bureaucracy,Education,PoliticsLaw,Agriculture,Energy,Defense,Defense,Media	Professional	Professional	Yes	Bureaucracy	No	Jawa Barat	Teknik	No	
17-25	Female	S1	No	HumanSociety	Professor	Professor	Yes	Believe	Yes	DKI Jakarta	Kedokteran	Yes	< 2
17-25	Male	SMA	Yes	Energy,Technology	Entrepreneur	Entrepreneur	Yes	Timing	Yes	DKI Jakarta	Teknik	Yes	< 2
17-25	Female	S1	No	Health	Entrepreneur	Entrepreneur	Maybe	Believe	Yes	Jawa Barat	Sains	Yes	2-5
17-25	Female	SMA	No	Limited job,Macroeconomics,Microeconomics	Menjadi Penulis fantasi	Menjadi Penulis fantasi	Maybe	Politics,Alone,Capital,Bureaucracy	Yes	Jawa Timur	Sastra	Yes	2-5
17-25	Female	S1	No	Bureaucracy,Education,Gender equality,HumanSociety,Youth	Professional	Professional	Yes	Bureaucracy	Yes	Jawa Timur	Ekonomi	Yes	< 2
26-30	Female	S1	No	Infrastructure	Professor	Professor	Yes	Communication	Yes	Jawa Barat	Seni dan Budaya	Yes	< 2
17-25	Female	S1	No	Education,Microeconomics	Professor	Professor	Yes	Believe	Yes	Sumatera Utara	Pendidikan	Yes	< 2
17-25	Male	S1	No	Technology	Professor	Professor	Yes	Politics,Capital,Bureaucracy,Timing	Yes	Jawa Tengah	Sastra	Yes	< 2
26-30	Male	S2	Yes	Education,Health	Professor	Professor	Yes	Believe	Yes	DI Yogyakarta	Ilmu Sosial dan Politik	Yes	< 2
17-25	Male	S1	No	Crime,Bureaucracy,Education,Health,PoliticsLaw,Agriculture,Energy,Natural resources,Defense,Defense, Media	Professional	Professional	Maybe	Politics,Communication,Bureaucracy	Yes	Jawa Timur	Ilmu dan Teknologi Pangan	Yes	< 2
26-30	Male	S1	No	Education	Birokrat	Birokrat	Maybe	Believe	Yes	Jawa Barat	Kehutanan	Yes	< 2
17-25	Female	S1	No	Limited job,Agriculture,Microeconomics	Birokrat	Birokrat	Yes	Timing	Yes	DKI Jakarta	Seni dan Budaya	Yes	< 2
26-30	Male	S1	Yes	Natural resources	Professional	Professional	Maybe	Realistic	Yes	DKI Jakarta	Teknik	Yes	2-5
17-25	Male	S1	No	Crime,Education,Gender equality,PoliticsLaw,Media,Youth	Professor	Professor	Yes	Realistic,Politics,Bureaucracy	Yes	DKI Jakarta	Ekonomi	Yes	2-5
17-25	Female	S1	No	Crime,Bureaucracy,PoliticsLaw,HumanSociety,Media	Professor	Professor	Yes	Bureaucracy	Yes	Jawa Tengah	Sistem Informasi/ Komputer	Yes	< 2
31-35	Female	S2	No	HumanSociety	Professor	Professor	Yes	Realistic,Capital,Communication	Yes	Jawa Barat	Kedokteran	Yes	2-5
31-35	Male	S2	No	PoliticsLaw	Birokrat	Birokrat	Yes	Politics,Capital,Communication,Bureaucracy,Timing,	Yes	Jawa Barat	Ilmu Sosial dan Politik	Yes	< 2
35+	Male	S2	Yes	Microeconomics	Birokrat	Birokrat	Yes	Paper	Yes	DKI Jakarta	Hukum	Yes	2-5
17-25	Male	S1	No	Limited job,HumanSociety	Entrepreneur	Entrepreneur	Yes	Politics,Bureaucracy	Yes	Jawa Barat	Teknik	Yes	> 7
17-25	Female	S2	No	Health	Professional	Professional	Yes	Capital	Yes	DI Yogyakarta	Kedokteran Hewan	Yes	< 2
17-25	Male	S1	No	Crime,PoliticsLaw	Professor	Professor	Yes	Politics	Yes	Maluku	Teknik	Yes	> 7
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Education,Technology	Professor	Professor	Yes	Believe	Yes	Aceh	Kedokteran	Yes	< 2
31-35	Male	S1	No	Agriculture	Birokrat	Birokrat	Yes	Believe	No	DKI Jakarta	Sains	No	< 2
