age	gender	education	studyabroad	problem	contribution	optimistic	fear	eastdev	origin	background	ruraldevplus	duration
26-30	Male	S1	No	Infrastructure	Professor	Yes	Realistic,Alone,Communication	Yes	Jawa Barat	Teknik	Yes	< 2
17-25	Female	S1	No	PoliticsLaw	Professor	Yes	Realistic,Alone,Timing	Yes	Aceh	Pendidikan	Yes	< 2
31-35	Female	S2	Yes	Bureaucracy,Education	Professor	Yes	Paper	Yes	Kalimantan Timur	Sains	Yes	2-5
17-25	Male	S1	Yes	Bureaucracy,PoliticsLaw	Entrepreneur	Maybe	Paper,Timing	Yes	DKI Jakarta	Hukum	Yes	< 2
26-30	Male	S1	No	Crime,Bureaucracy,Education,Technology,Youth	Professional	Yes	Believe,Politics,Bureaucracy	Yes	DKI Jakarta	Hukum	Yes	< 2
31-35	Female	S1	No	HumanSociety	Professional	Yes	Communication	Yes	DKI Jakarta	Hukum	Yes	< 2
17-25	Female	S1	No	Health	Entrepreneur	Maybe	Believe	No	Jawa Timur	Sistem Informasi/ Komputer	No
26-30	Male	S1	No	Bureaucracy,Education,Health,Gender equality	Professional	Yes	Alone	Yes	Banten	Sains	Yes	< 2
17-25	Female	S1	No	HumanSociety,Culture	Professor	Yes	Bureaucracy	Yes	Jawa Timur	Sains	Yes	2-5
17-25	Male	S1	No	Health	Professor	Yes	Politics,Alone	Yes	Sulawesi Tenggara	Perikanan	Yes	> 7
26-30	Male	S1	No	Crime,Education,PoliticsLaw,Energy,Natural resources,Macroeconomics,Youth	Entrepreneur	Yes	Realistic,Paper,Alone,Bureaucracy	Yes	DKI Jakarta	Sistem Informasi/ Komputer	Yes	2-5
26-30	Male	S2	No	Education	Entrepreneur	Yes	Believe	Yes	Sumatera Utara	Hukum	Yes	5-7
17-25	Female	S1	No	Health,Agriculture	Professor	Yes	Paper,Capital,Communication	Yes	Jawa Timur	Sains	Yes	< 2
26-30	Female	S2	Yes	Technology	Professional	Maybe	Alone	Yes	DKI Jakarta	Ekonomi	Yes	5-7
17-25	Female	S1	No	Gender equality,Infrastructure	Professor	Yes	Believe	Yes	Jawa Tengah	Pendidikan	No
17-25	Female	S1	Yes	Energy,Technology	Entrepreneur	Yes	Paper	Yes	Sulawesi Selatan	Sastra	Yes	> 7
26-30	Female	S1	No	Limited job,Education,Health,PoliticsLaw,Energy,Media	Professional	Yes	Alone,Communication	Yes	Jawa Timur	Pendidikan	Yes	< 2
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Education	Professor	Maybe	Alone,Capital	Yes	Jawa Barat	Teknik	Yes	5-7
17-25	Male	S1	No	Limited job,Education,Technology	Professor	Yes	Believe	No	DI Yogyakarta	Sistem Informasi/ Komputer	No
17-25	Male	S1	No	Education,Energy,Natural resources	Professor	Yes	Believe	Yes	DKI Jakarta	Teknik	Yes	< 2
26-30	Male	S1	No	Limited job,Education,PoliticsLaw	Entrepreneur	Maybe	Believe	Yes	Banten	Teknik	No	< 2
17-25	Male	S1	No	Education,HumanSociety	Professor	Yes	Bureaucracy	Yes	Jawa Timur	Teknik	Yes	2-5
17-25	Female	S1	Yes	Energy	Professor	Yes	Bureaucracy	Yes	Sumatera Selatan	HumanSocietyiora	Yes	> 7
17-25	Male	S1	Yes	Bureaucracy,Education,Health,Agriculture,Defense,Media,Technology,Youth	Professor	Yes	Bureaucracy	Yes	Aceh	Teknik	Yes	> 7
17-25	Male	S1	No	Crime,Limited job,Bureaucracy,Education,PoliticsLaw,Youth	Professional	Yes	Realistic,Paper,No idea,Bureaucracy,Timing,	Yes	Sumatera Utara	Teknik	Yes	2-5
17-25	Female	S1	No	Crime,Bureaucracy,Education,Energy,Natural resources,Media,Macroeconomics,Microeconomics,Youth	Professor	Yes	Realistic,Capital,Communication,No idea,Inside,	Yes	Jawa Timur	Pendidikan	Yes	< 2
26-30	Male	S1	No	Education,Health,PoliticsLaw,Agriculture,Energy,Media,Youth	Professor	Yes	Believe	Yes	Jawa Tengah	Teknik	Yes	2-5
31-35	Female	S2	Yes	Crime,Bureaucracy,PoliticsLaw,Youth	Professional	Yes	Paper,Family,Alone,Capital,Communication,	Yes	Jawa Barat	Teknik	Yes	< 2
17-25	Male	S1	Yes	Bureaucracy,Education,Youth	Professor	Maybe	Believe	Yes	Jawa Barat	Kesehatan	Yes	< 2
26-30	Male	S1	Yes	Limited job	Professional	Yes	Paper	Yes	DI Yogyakarta	Teknik	Yes	2-5
17-25	Female	S1	Yes	Education	Professor	Yes	Politics,Bureaucracy	Yes	Sumatera Selatan	Pendidikan	Yes	< 2
17-25	Male	S1	No	Energy	Professor	Yes	Believe	Yes	Jawa Timur	Teknik	Yes	5-7
26-30	Male	S1	No	Education,Health,Youth	Professional	Yes	Alone	Yes	Jambi	Teknik	Yes	< 2
17-25	Male	S1	No	Crime,Limited job,Agriculture,Energy,Defense	Professor	Yes	Realistic,Family	Yes	DKI Jakarta	Sains	Yes	< 2
17-25	Female	S1	No	Education,Health,Youth	Professor	Yes	Communication,No idea	Yes	Jambi	HumanSocietyiora	Yes	2-5
17-25	Female	S1	No	Education,HumanSociety	Professor	Yes	Politics	Yes	Banten	Teknik	Yes	< 2
17-25	Female	S1	No	Education,Agriculture,HumanSociety,Media	Professor	Yes	Realistic	Yes	Jawa Timur	Ekonomi	Yes	< 2
17-25	Male	S1	No	Crime,Bureaucracy,Education,Technology,Youth	Professor	Maybe	Paper,Politics,Family,Alone,Capital,Bureaucracy	Yes	Riau	Teknik	Yes	> 7
17-25	Female	S1	Yes	Education,HumanSociety,Youth	Entrepreneur	Maybe	Communication	Yes	DKI Jakarta	Teknik	Yes	< 2
31-35	Male	S1	No	Limited job,Education,Health,Agriculture,Energy,Technology	Professor	Yes	Alone	Yes	DKI Jakarta	Seni/ Desain/ Media	Yes	2-5
17-25	Female	S1	No	Health,Youth	Professor	Yes	Paper,Capital	Yes	Bali	Sastra	Yes	2-5
26-30	Female	S1	No	Crime,Limited job,Education,Agriculture	Professor	Maybe	Politics	Yes	Papua	Ilmu Sosial dan Politik	Yes	2-5
26-30	Male	S1	No	Agriculture,Environmental	Entrepreneur	Yes	Believe	Yes	DKI Jakarta	Bisnis	Yes	< 2
26-30	Female	S1	No	Limited job,Bureaucracy,Education,HumanSociety,Youth	Professor	Maybe	Capital,Timing	Yes	Papua	Ilmu Sosial dan Politik	Yes	2-5
26-30	Female	S1	No	Crime,Education,Macroeconomics	Professor	Yes	Alone,Bureaucracy	Yes	DI Yogyakarta	Sains	Yes	2-5
26-30	Male	S1	Yes	Education,Health	Activist	Yes	Realistic	Yes	Jawa Tengah	HumanSocietyiora	Yes	< 2
35+	Male	S2	Yes	Bureaucracy,Health	Birokrat	Maybe	Capital	No	Jawa Tengah	Ekonomi	Yes	< 2
26-30	Female	S2	Yes	Education,Health,Agriculture,Defense,Defense,Macroeconomics,Microeconomics	Birokrat	Yes	Politics	Yes	Jawa Timur	Sistem Informasi/ Komputer	Yes	< 2
26-30	Female	S1	No	Bureaucracy,PoliticsLaw,Media	Birokrat	Yes	Alone	Yes	DKI Jakarta	Seni/ Desain/ Media	Yes	< 2
26-30	Female	S2	Yes	Limited job,Bureaucracy,Agriculture,Energy,Natural resources,Defense,Defense,HumanSociety,Media,Youth,	Professor	Yes	Paper	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Male	D3	No	Energy,Natural resources,Defense,Technology	Professional	Maybe	No idea	Yes	Jawa Timur	Teknik	Yes	< 2
17-25	Female	S1	Yes	Education,Media	Entrepreneur	Yes	Paper,Alone,Communication	Yes	DKI Jakarta	Seni/ Desain/ Media	Yes	< 2
17-25	Female	S1	Yes	Crime,Education,Agriculture,Energy,Natural resources,Technology	Professional	Maybe	Paper	Yes	Jawa Barat	Ekonomi	Yes	2-5
26-30	Male	S2	Yes	Energy	Professor	Yes	Politics,Bureaucracy,Timing	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Male	S1	No	PoliticsLaw,Energy,Natural resources,Defense,Defense,Media,Macroeconomics	Birokrat	Maybe	Believe	Yes	DKI Jakarta	Teknik	Yes	< 2
17-25	Female	S1	No	Education,Health	Professional	Yes	Politics,Bureaucracy	Yes	Sumatera Utara	Hukum	Yes	2-5
17-25	Male	S1	No	Crime,Education,Energy,Natural resources,Technology	Professor	Yes	Believe	Yes	DKI Jakarta	Teknik	Yes	5-7
17-25	Male	S1	No	Education,Natural resources,Technology	Professor	Yes	Believe	Yes	Jawa Timur	Sains	Yes	5-7
17-25	Female	SMA	No	Crime,Limited job,Education,Media,Microeconomics,Technology,Youth	Professor	Yes	Believe	Yes	Sumatera Selatan	Pendidikan	Yes	2-5
26-30	Male	S1	Yes	Agriculture,Natural resources,HumanSociety	Professional	Yes	Believe,Bureaucracy	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Female	S1	No	Technology	Professional	Yes	Communication	Yes	DKI Jakarta	Bisnis	Yes	< 2
26-30	Male	S2	Yes	Health	Professor	Yes	Realistic,Alone	Yes	Jawa Barat	Sains	Yes	5-7
31-35	Male	S1	Yes	Education,Energy	Entrepreneur	Yes	Believe	Yes	Gorontalo	Pendidikan	Yes	2-5
17-25	Male	S1	No	Education	Professor	Yes	Capital	Yes	Jawa Timur	Sains	Yes	2-5
26-30	Female	S1	No	Agriculture,Youth	Professor	Yes	Politics,Timing	Yes	Jawa Timur	Ekonomi	Yes	< 2
26-30	Female	S1	Yes	HumanSociety	Birokrat	Maybe	Paper	Yes	DKI Jakarta	Hukum	Yes	< 2
17-25	Female	S1	No	Crime,Limited job,Education	Professional	Yes	Paper,Alone,Capital	Yes	Jawa Tengah	Sains	Yes	2-5
17-25	Male	S1	Yes	Education,Health,Gender equality,Media	Professor	Maybe		Yes	Jawa Barat	Kesehatan	Yes	< 2
17-25	Female	S1	No	Youth	Professor	Yes	Family,Capital	Yes	Lampung	Perikanan	Yes	< 2
17-25	Male	S1	No	Education,Gender equality	Professional	Yes	Believe	Yes	Sulawesi Selatan	Teknik	Yes	> 7
26-30	Female	S1	No	Crime,Education,Health	Professor	Yes	Realistic,Communication,Inside	Yes	Bali	Kesehatan	Yes	< 2
26-30	Male	S1	Yes	Education,Youth,Culture	Birokrat	Yes		Yes	DKI Jakarta	Teknik	Yes	2-5
17-25	Male	S1	Yes	Crime	Entrepreneur	Yes	Capital	Yes	Jawa Barat	Bisnis	Yes	2-5
31-35	Female	S1	No	Education	Professional	Yes	Paper,Alone,Bureaucracy	Yes	Jawa Timur	Seni/ Desain/ Media	Yes	> 7
17-25	Female	S1	No	Crime,Bureaucracy,PoliticsLaw,HumanSociety,Macroeconomics,Microeconomics	Professional	Yes	Believe	Yes	Sulawesi Selatan	Hukum	Yes	< 2
17-25	Male	S1	No	Education,Agriculture	Professor	Yes	Paper,Politics,Bureaucracy	Yes	Jawa Tengah	Teknik	Yes	2-5
17-25	Female	S1	No	Natural resources,Environmental	Professional	Yes	Believe	Yes	Sulawesi Tenggara	Hukum	Yes	2-5
17-25	Male	S1	No	Education,Media	Professor	Yes	Believe	Yes	Jawa Timur	Teknik	Yes	2-5
17-25	Male	S1	No	Limited job,Bureaucracy,Education,Health,HumanSociety,Macroeconomics,Microeconomics	Professor	Yes	Capital	Yes	Jawa Tengah	Kesehatan	Yes	< 2
17-25	Female	S2	Yes	Education,Macroeconomics,Microeconomics	Professor	Yes	Realistic,Alone,Timing	Yes	Riau	Kedokteran	Yes	< 2
17-25	Female	S1	No	Limited job,Education	Professional	Yes	Inside	Yes	Jawa Barat	Ekonomi	Yes	< 2
35+	Female	S2	No	Health	Professor	Yes	Politics,Capital,Bureaucracy	Yes	DI Yogyakarta	Teknik	Yes	2-5
26-30	Female	S2	Yes	Crime,Bureaucracy	Professor	Maybe	Alone	Yes	DKI Jakarta	Kesehatan	Yes	< 2
26-30	Female	S1	No	Crime,Bureaucracy,PoliticsLaw,Defense,HumanSociety,Technology	Entrepreneur	Yes		Yes	Jawa Barat	Peternakan	Yes	< 2
26-30	Male	S1	No	Energy,Youth	Professor	Maybe		Yes	Papua	Ilmu Sosial dan Politik	Yes	< 2
17-25	Male	S1	No	Limited job,Agriculture	Professional	Yes	Alone,Capital	Yes	Banten	Teknik	Yes	2-5
31-35	Male	S2	Yes	Education,Technology	Professor	Yes		Yes	Jawa Barat	HumanSocietyiora	Yes	2-5
17-25	Female	S1	No	Limited job,Bureaucracy,Education,Health	Professor	Yes	Believe	Yes	Jawa Timur	Kedokteran	Yes	< 2
35+	Male	S2	Yes	Crime,Bureaucracy,Technology	Entrepreneur	Yes	Politics	No	Jawa Tengah	Teknik	No
17-25	Male	S1	No	Crime,Bureaucracy,Education,Health,PoliticsLaw,Natural resources,Defense,Defense,Media,Macroeconomics,	Professional	Yes	Communication	Yes	Jawa Timur	Teknik	Yes	2-5
31-35	Male	S2	Yes	Crime,Limited job,Bureaucracy,Education,Gender equality,Energy,Media,Technology	Professor	Yes	Realistic,Paper,Family,Alone,Capital,Inside	Yes	Jawa Barat	Sistem Informasi/ Komputer	Yes	2-5
31-35	Female	S2	Yes	Bureaucracy,PoliticsLaw,Youth	Professor	Yes	Paper	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Male	S1	No	Limited job,Agriculture	Entrepreneur	Yes	Paper,Capital,Communication	No	DKI Jakarta	Teknik	No
17-25	Female	S1	No	Crime,Bureaucracy,Technology	Entrepreneur	Yes	Paper,Politics,Alone,Communication,No idea,	Yes	Sumatera Barat	Sains	Yes	5-7
17-25	Female	S1	No	Education,Gender equality,Technology	Professor	Maybe	Timing	Yes	Banten	Sains	Yes
17-25	Female	S1	Yes	Agriculture	Professor	Maybe	Alone	Yes	DKI Jakarta	Teknik	Yes	< 2
17-25	Female	S2	No	Crime,Bureaucracy,Education,PoliticsLaw	Professor	Yes	Believe,Politics	Yes	Riau	Teknik	Yes	> 7
17-25	Male	S1	No	Crime,Limited job,Bureaucracy,Education,Health,Gender equality,PoliticsLaw,Media,Macroeconomics,Microeconomics, Youth	Professor	Maybe	Realistic,Capital	No	Sumatera Selatan	Sains	No
26-30	Male	S1	No	Education	Professional	Yes	Capital	Yes	Papua	Kedokteran	Yes	5-7
26-30	Female	S1	No	Limited job,Education,Natural resources,Media,Technology	Professional, Activist	Maybe	Bureaucracy	Yes	DKI Jakarta	Hukum	Yes	< 2
26-30	Male	S1	No	Education,Agriculture,Energy,Defense,Defense,Youth	Entrepreneur	Yes	Paper	Yes	Aceh	Ekonomi	Yes	> 7
17-25	Male	S1	No	Education	Professional	Yes		Yes	Jawa Timur	Ilmu Sosial dan Politik	Yes	5-7
17-25	Male	S2	Yes	Bureaucracy,Education,HumanSociety,Media,Youth	Professor	Yes	Capital	Yes	Jawa Timur	Teknik	Yes	> 7
26-30	Male	S1	No	Limited job,Bureaucracy,Education,Youth	Professor	Yes	Bureaucracy	Yes	Aceh	Kesehatan	Yes	> 7
17-25	Female	S1	Yes	Education	Professional	Maybe	Alone	Yes	Jawa Barat	Kesehatan	Yes	2-5
17-25	Female	S1	No	Crime,Limited job,PoliticsLaw,Macroeconomics,Microeconomics	Birokrat	Yes	Believe	Yes	DKI Jakarta	Hukum	Yes	< 2
17-25	Male	S1	No	Limited job,Bureaucracy,PoliticsLaw,Agriculture,Youth	Professor	Yes	Capital	Yes	Jawa Barat	Teknik	Yes	> 7
17-25	Male	S1	Yes	Media	Professor	Maybe		Yes	Jawa Barat	Teknik	No
17-25	Male	S1	No	Infrastructure	Professor	Yes	Believe	Yes	Sulawesi Selatan	Hukum	Yes	< 2
31-35	Female	S2	No	Education	Birokrat	Yes	Politics	Yes	DI Yogyakarta	Sains	Yes	2-5
17-25	Female	S1	No	Technology	Professor	Yes	Politics	Yes	Kalimantan Tengah	Sains	Yes	> 7
26-30	Female	S1	No	Energy	Entrepreneur	Yes	Alone	Yes	Aceh	Sistem Informasi/ Komputer	Yes	> 7
17-25	Female	S1	No	Limited job,Education,HumanSociety,Media,Youth	Professor	Yes	Capital	Yes	Nusa Tenggara Barat	Sains	Yes	2-5
31-35	Male	S2	Yes	Crime,Education,Gender equality,Media	Professor	Yes	Believe	Yes	DI Yogyakarta	Kedokteran	Yes	2-5
26-30	Male	S1	Yes	Gender equality,PoliticsLaw	Entrepreneur	Yes	Bureaucracy	No	Sumatera Utara	Sains	No
26-30	Female	S1	No	Crime,Bureaucracy,Youth	Professor	Yes	Believe	Yes	Jawa Timur	Teknik	Yes	< 2
31-35	Male	S2	Yes	Energy,Defense,Technology	Professor	Yes	Believe	Yes	Bali	Kesehatan	Yes	2-5
26-30	Male	S1	No	Education	Professor	Yes		Yes	Jawa Timur	Teknik	Yes	> 7
26-30	Male	S1	No	Education	Entrepreneur	Yes	Realistic	Yes	Sulawesi Selatan	Sains	Yes	2-5
17-25	Male	S1	No	Youth	Birokrat	Yes	Alone	Yes	Lampung	Pendidikan	Yes	2-5
26-30	Male	S1	No	Bureaucracy,Media	Entrepreneur, Professor	Yes	Believe	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Female	S1	No	Crime,Education,PoliticsLaw	Professor	Maybe	Capital	Yes	Jawa Barat	HumanSocietyiora	Yes	< 2
17-25	Female	S1	No	Education,Agriculture	Entrepreneur	Yes	Believe,Realistic,Capital,Communication,Bureaucracy,	Yes	Jawa Tengah	Teknik	Yes	> 7
17-25	Female	S1	No	Education,Agriculture,Energy,Defense	Professor	Yes	Paper,Politics,Alone	Yes	Sulawesi Selatan	Kesehatan	Yes	2-5
17-25	Male	S1	No	Energy,Natural resources	Professional	Yes	Politics,Bureaucracy	Yes	DI Yogyakarta	Teknik	Yes	2-5
17-25	Female	S1	No	Energy,Technology	Professional	Yes	Believe	Yes	Jawa Timur	Sains	Yes	5-7
17-25	Female	S1	No	Agriculture,Youth	Professor	Yes	Politics,Bureaucracy	Yes	DKI Jakarta	Ekonomi	Yes	< 2
26-30	Male	S1	No	Defense,Defense	Professor	Yes	Politics,Bureaucracy	Yes	Jawa Timur	Ekonomi	Yes	2-5
26-30	Female	S1	No	Energy	Professor	Yes	Politics,Bureaucracy	Yes	Sumatera Utara	Kedokteran	Yes	> 7
26-30	Female	S1	No	Health,Health	Professor	Yes	Politics,Bureaucracy	Yes	Jawa Barat	Kedokteran	Yes	2-5
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Education,Health,Gender equality,Agriculture,Natural resources,Youth	Professor	Yes	Believe	Yes	Aceh	Pendidikan	Yes	2-5
26-30	Female	S1	No	Education,Technology,Youth	Professional	Yes	Politics,Bureaucracy	Yes	Jawa Barat	Hukum	Yes	< 2
17-25	Male	S1	No	Crime,Bureaucracy	Entrepreneur	Yes		Yes	Jawa Barat	Seni/ Desain/ Media	Yes	2-5
26-30	Male	S1	Yes	Crime,Limited job,Education,PoliticsLaw,Macroeconomics,Microeconomics	Professional	Yes	No idea,Inside	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Female	S1	No	Crime,Energy,Natural resources,Technology	Professional	Maybe	Politics,Capital,Bureaucracy,Timing	Yes	Sumatera Utara	Teknik	Yes	< 2
17-25	Male	S1	No	Limited job	Professor	Maybe	Believe,Paper,Timing	Yes	Papua	Sains	Yes	> 7
35+	Female	S2	No	Technology	Birokrat	Yes	Believe	Yes	DKI Jakarta	Hukum	No
31-35	Male	S1	No	Crime	Professional	Yes	Politics,Bureaucracy	Yes	DKI Jakarta	Teknik	Yes	2-5
26-30	Female	S1	Yes	Education,Health,Media	Professional	Yes	Alone,Communication	Yes	DKI Jakarta	Hukum	Yes	< 2
17-25	Female	S1	No	Crime,Bureaucracy,Gender equality,PoliticsLaw,Energy,Natural resources,Defense	Professional	Yes	Realistic	Yes	Bali	Kesehatan	No
17-25	Male	S1	No	Crime,Education,Health,Gender equality,HumanSociety	Professor	Yes	Politics	Yes	Aceh	Teknik	Yes	2-5
17-25	Female	S1	No	Crime,Media	Professor	Yes	Alone,Capital	Yes	Riau	Sains	Yes	< 2
17-25	Male	S1	No	Education,Gender equality,Media,Youth	Entrepreneur	Maybe	Capital	Yes	DKI Jakarta	Ekonomi	Yes	< 2
31-35	Male	S2	Yes	Technology,Disaster	Professor	Yes	Capital	Yes	DKI Jakarta	Ekonomi	Yes	2-5
26-30	Male	S2	Yes	Crime,Bureaucracy,Education,Microeconomics	Entrepreneur	Yes	Politics	Yes	Jawa Barat	Sistem Informasi/ Komputer	Yes	5-7
17-25	Female	S1	No	Education	Professional	Yes	Politics	No	Jawa Timur	Kedokteran	Yes	< 2
17-25	Male	S1	No	Bureaucracy,Energy,Media,Technology	Professor	Yes		Yes	Aceh	Pendidikan	Yes	2-5
31-35	Female	S2	Yes	Microeconomics	Entrepreneur	Yes	Believe	Yes	Sumatera Barat	Pendidikan	Yes	< 2
17-25	Female	S1	No	Education	Entrepreneur	Maybe	Politics,Capital,Bureaucracy	Yes	Jawa Timur	Pendidikan	Yes	< 2
17-25	Female	S1	No	Education	Professor	Yes	Believe	Yes	DKI Jakarta	Hukum	Yes	2-5
26-30	Male	S1	Yes	Limited job,Bureaucracy,Education,PoliticsLaw,Agriculture,Energy,Defense,Defense,Media	Professional	Yes	Bureaucracy	No	Jawa Barat	Teknik	No
17-25	Female	S1	No	HumanSociety	Professor	Yes	Believe	Yes	DKI Jakarta	Kedokteran	Yes	< 2
17-25	Male	SMA	Yes	Energy,Technology	Entrepreneur	Yes	Timing	Yes	DKI Jakarta	Teknik	Yes	< 2
17-25	Female	S1	No	Health	Entrepreneur	Maybe	Believe	Yes	Jawa Barat	Sains	Yes	2-5
17-25	Female	SMA	No	Limited job,Macroeconomics,Microeconomics	Professional	Maybe	Politics,Alone,Capital,Bureaucracy	Yes	Jawa Timur	Sastra	Yes	2-5
17-25	Female	S1	No	Bureaucracy,Education,Gender equality,HumanSociety,Youth	Professional	Yes	Bureaucracy	Yes	Jawa Timur	Ekonomi	Yes	< 2
26-30	Female	S1	No	Infrastructure	Professor	Yes	Communication	Yes	Jawa Barat	Seni dan Budaya	Yes	< 2
17-25	Female	S1	No	Education,Microeconomics	Professor	Yes	Believe	Yes	Sumatera Utara	Pendidikan	Yes	< 2
17-25	Male	S1	No	Technology	Professor	Yes	Politics,Capital,Bureaucracy,Timing	Yes	Jawa Tengah	Sastra	Yes	< 2
26-30	Male	S2	Yes	Education,Health	Professor	Yes	Believe	Yes	DI Yogyakarta	Ilmu Sosial dan Politik	Yes	< 2
17-25	Male	S1	No	Crime,Bureaucracy,Education,Health,PoliticsLaw,Agriculture,Energy,Natural resources,Defense,Defense, Media	Professional	Maybe	Politics,Communication,Bureaucracy	Yes	Jawa Timur	Sains	Yes	< 2
26-30	Male	S1	No	Education	Birokrat	Maybe	Believe	Yes	Jawa Barat	Sains	Yes	< 2
17-25	Female	S1	No	Limited job,Agriculture,Microeconomics	Birokrat	Yes	Timing	Yes	DKI Jakarta	Seni dan Budaya	Yes	< 2
26-30	Male	S1	Yes	Natural resources	Professional	Maybe	Realistic	Yes	DKI Jakarta	Teknik	Yes	2-5
17-25	Male	S1	No	Crime,Education,Gender equality,PoliticsLaw,Media,Youth	Professor	Yes	Realistic,Politics,Bureaucracy	Yes	DKI Jakarta	Ekonomi	Yes	2-5
17-25	Female	S1	No	Crime,Bureaucracy,PoliticsLaw,HumanSociety,Media	Professor	Yes	Bureaucracy	Yes	Jawa Tengah	Sistem Informasi/ Komputer	Yes	< 2
31-35	Female	S2	No	HumanSociety	Professor	Yes	Realistic,Capital,Communication	Yes	Jawa Barat	Kedokteran	Yes	2-5
31-35	Male	S2	No	PoliticsLaw	Birokrat	Yes	Politics,Capital,Communication,Bureaucracy,Timing,	Yes	Jawa Barat	Ilmu Sosial dan Politik	Yes	< 2
35+	Male	S2	Yes	Microeconomics	Birokrat	Yes	Paper	Yes	DKI Jakarta	Hukum	Yes	2-5
17-25	Male	S1	No	Limited job,HumanSociety	Entrepreneur	Yes	Politics,Bureaucracy	Yes	Jawa Barat	Teknik	Yes	> 7
17-25	Female	S2	No	Health	Professional	Yes	Capital	Yes	DI Yogyakarta	Kedokteran	Yes	< 2
17-25	Male	S1	No	Crime,PoliticsLaw	Professor	Yes	Politics	Yes	Maluku	Teknik	Yes	> 7
17-25	Female	S1	No	Crime,Limited job,Bureaucracy,Education,Technology	Professor	Yes	Believe	Yes	Aceh	Kedokteran	Yes	< 2
31-35	Male	S1	No	Agriculture	Birokrat	Yes	Believe	No	DKI Jakarta	Sains	No	< 2
17-25	Female	S1	No	Limited job,Education,Media,Microeconomics,Technology,Youth	Professor	Yes	Realistic,Alone,Timing	Yes	Jawa Tengah	Sains	Yes	2-5
17-25	Female	S1	No	Limited job	Professional	Yes	Realistic,Capital	Yes	Sumatera Barat	Ekonomi	Yes	< 2
17-25	Male	D3	No	Health	Birokrat	Yes	Paper,Family,Alone,Capital,Timing,	Yes	Jawa Barat	Ekonomi	Yes	< 2
26-30	Female	S1	No	Education,Health,Gender equality,Agriculture	Entrepreneur	Yes	Inside	Yes	Bali	Sains	Yes	2-5
31-35	Male	S1	No	Youth	Birokrat	Yes	Capital	No	DKI Jakarta	Sains	No	< 2
17-25	Female	S1	Yes	Education	Entrepreneur	Yes	Believe	Yes	DKI Jakarta	Seni/ Desain/ Media	Yes	< 2
26-30	Male	S1	No	Macroeconomics,Microeconomics	Professor	Yes	Believe	Yes	Nusa Tenggara Barat	Pendidikan	Yes	> 7
17-25	Male	S1	No	Bureaucracy,Education,Youth	Birokrat	Yes	Believe	Yes	Jawa Tengah	Kedokteran	Yes	2-5
31-35	Male	S2	Yes	Youth	Professor	Yes	Paper	Yes	Jawa Tengah	Kesehatan	Yes	> 7
17-25	Male	S2	Yes	Bureaucracy,Technology	Entrepreneur	Maybe	Believe	Yes	Sumatera Utara	Bisnis	Yes	< 2
26-30	Male	S2	No	Infrastructure	Professor	Maybe	Politics,Bureaucracy	No	DI Yogyakarta	Sains	No	> 7
26-30	Male	S2	No	Defense	Professor	Maybe	Believe,Communication	Yes	Sulawesi Tengah	Pendidikan	Yes	> 7
17-25	Female	S1	No	Crime,Education,Defense,Technology	Professor	Maybe	Communication	No	Sulawesi Selatan	Sastra	No
17-25	Male	S1	No	Crime,Health	Professor	Yes	Politics,Family,Capital	Yes	Sulawesi Tengah	Sains	Yes	> 7
17-25	Female	S1	No	Limited job	Professor	Yes	Paper,Alone,Capital	Yes	Papua Barat	Sains	Yes	2-5
26-30	Male	S2	Yes	Limited job,HumanSociety,Microeconomics,Youth	Professor	Maybe	Realistic	Yes	Banten	Sejarah	Yes	2-5
26-30	Female	S1	Yes	Health,Agriculture	Professor	Yes		Yes	Jawa Barat	Pendidikan	Yes	5-7
35+	Female	S2	Yes	Crime,Limited job,Bureaucracy,Education,Agriculture,Youth	Professor	Yes	Believe	Yes	Jawa Timur	Pendidikan	No
17-25	Male	S1	Yes	Crime	Entrepreneur	Yes	Believe	Yes	Jawa Barat	Bisnis	Yes	2-5
17-25	Male	SMA	No	Crime,Limited job,Education,Health,PoliticsLaw	Birokrat	Yes	Believe	Yes	Sumatera Selatan	Hukum	Yes	5-7
26-30	Male	D3	No	Education,Agriculture,Energy	Professor	Maybe	Believe	No	Sumatera Utara	Teknik	Yes	< 2
17-25	Female	S1	Yes	Limited job,Microeconomics,Youth	Professional	Maybe	Capital	Yes	Jawa Timur	Hubungan Internasional	Yes	2-5
17-25	Male	S1	Yes	Education	Birokrat	Yes	Alone	Yes	DKI Jakarta	Teknik	Yes	< 2
17-25	Male	S1	No	Crime,Limited job,Bureaucracy,Education,Health,PoliticsLaw	Entrepreneur	Yes	Paper,Family,Inside	Yes	DKI Jakarta	HumanSocietyiora	Yes	5-7
26-30	Male	S2	Yes	Crime,PoliticsLaw,Natural resources,Youth	Professor	Maybe	Paper	No	DKI Jakarta	Sains	No
